Alesmith Old Ale (San Diego, CA)
Alpine Captain Stout (Alpine, CA)
Avery White Rascal (Boulder, CO)
Backcountry Brewery Berliner Weisse (Frisco, CO)
Ballast Point Sculpin (San Diego, CA)
Ballast Point Sea Monster (San Diego, CA)
Ballast Point Victory At Sea (San Diego, CA)
Birrificio del Ducato  Beersel Mattina (Roncole Verdi, Italy)
Birrificio del Ducato  Nuova Mattina (Roncole Verdi, Italy)
Birrificio Italiano VÃ¹dÃ¹ (Lurago Marinone (CO))
Birrificio Montegioco  Demon Hunter (Busseto, Italy)
Birrifico del Borgo Caos (Borgorose, Italy)
Bootstrap Insane Rush (Niwot, CO)
Boulevard Tank 7 (Kansas City, MO)
Brasserie de Blaugies La Moneuse (Dour-Blaugies, Belgium)
Brouwerij Dilewyns Vicarus Tripel Gueuze (Grembergen, Belgium)
Brouwerij Strubbe  Itchegem's Grand Cru (Ichtegem, Belgium)
Caution Card Your Mom (Denver, CO)
Caution Working Girl (Denver, CO)
City Star Brewing Widow Maker (Berthoud, CO)
Comrade Superpower IPA (Denver, CO)
Crazy Mountain  Lawyers, Guns, and Money (Avon, CO)
Crooked Stave Petite Sour Blueberry (Denver, CO)
Crooked Stave Petite Sour Tart Cherry (Denver, CO)
Crystal Springs 13 IPA (Boulder, CO)
De Glazen Toren  2014 Saison d'Erpe-Mere (Erpe-Mere, Belgium)
De Proef Flemish Primitive #3 (Lochristi-Hijfle, Belgium)
Destihl Amra Mango IPA (Bloomington, IL)
Diebolt Anton Francois French Ale (Denver, CO)
Dry Dock Apricot Blonde (Aurora, CO)
Dry Dock Hefeweizen (Aurora, CO)
Elevation 7437 (Poncha Springs, CO)
Elevation 8 Second Kolsch (Poncha Springs, CO)
Evil Twin Citra Sunshine Slacker (Valby, Denmark)
Firestone Walker Easy Jack (Paso Robles, CA)
Firestone Walker Pivo Hoppy Pils (Paso Robles, CA)
Funkwerks  Saison (Fort Collins, CO)
Grand Teton Sour Grand Saison (Victor, Idaho)
High Hops The Golden One (Windsor, CO)
Hof Ten Dormaal Zure Van Tildonk  (Tildonk, Belgium)
Lagunitas Scare City #4 (Petaluma, CA)
Left Hand Brewing Milk Stout (Longmont, CO)
Liefmanâs  Cuvee Brut (Oudenaarde, Belgium)
New Belgium  Hop Tart (Fort Collins, CO)
Perennial Ales Regalia (St. Louis, MO)
Prairie Ales Birra (Tulsa, OK)
Prairie Ales Prairie Bomb! (Tulsa, OK)
Redstone Black Raspberry Nectar (Boulder, CO)
River North Brewing IPA (Denver, CO)
Rocky Mountain Wild Cider Hard Apple (Firestone, CO)
Russian River Blind Pig (Santa Rosa, CA)
Sanitas Balaton Saison (Boulder, CO)
Sierra Nevada Pale Ale (Chico, CA)
Stone Brewing Enjoy By 7.4.15 (Escondido, CA)
Stone Brewing IPA (Escondido, CA)
Sun King Tin Star (Indianapolis, IN)
Telluride Face Down Brown (Telluride, CO)
The Hop Concept Citrus and Piney (San Marcos, CA)
Upslope Craft Lager (Boulder, CO)
Verboten Brewing Old Fashioned Angry Banjo (Loveland, CO)
Verboten Brewing Standup Philosopher (Loveland, CO)
Victory  Golden Monkey (Downingtown, PA)
